Компания,Телефон,Сайт,Категория,Город,Страна,Score,Статус,Источник,Дата
"HappyCake","+7 707 777 1144","https://happycake.kz/almaty","Кондитерская","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Salax","+7 701 784 3444","http://salax.kz/","Интернет-магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"glo","+7 800 080-10-80 ext. 5757","https://myglo.kz/","Поставщик табака","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Аквамаркет Тибетская","+7 727 317 2737","https://try.new.yapartner.kz/2gisalmaty","Поставщик бутилированной воды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Аптека (ТОО Нидиа Фарм)","+7 727 309 5453","","Аптека","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"HappyCake","+7 707 777 1144","https://happycake.kz/almaty","Кондитерская","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"HappyCake","+7 707 777 1144","https://happycake.kz/almaty","Кондитерская","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"HappyCake","+7 707 777 1144","https://happycake.kz/almaty","Кондитерская","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"CAFFÈ VERGNANO 1882","+7 707 369 0000","","Кафетерий","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО "" ОПТОВЫЙ ДВОР"" Межкомнатные двери, деревянные двери","+7 727 377 0511","http://optdvor.kz/almaty","Магазин дверей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""Ламинат Плюс LTD""","+7 701 789 0020","https://www.laminat-almaty.kz/","Магазин напольных покрытий","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"abdi","+7 727 394 3752","https://abdi.kz/","Магазин канцелярских товаров","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Саудакент","","","Рынок","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"UTI-PUTI","+7 707 784 9801","https://uti-puti.kz/","Магазин детской одежды","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"Nurmax (Нурмакс)","+7 7272 20 77 47","http://nurmaxkz.kz/","Магазин строительных товаров","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Конфи. Магазин сладостей РАХАТ","+7 700 595 9030","http://konfi.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"AFONOLIVA.KZ","+7 777 477 5666","https://www.afonoliva.kz/","Экспортёр продуктов питания и напитков","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Бутик Женской Одежды Из Турции","+7 777 822 2259","","Магазин одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Алатау","+7 7272 48 65 93","","Торговый центр","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Декатлон Казахстан","+7 702 075 0777","https://decathlon.kz/","Магазин спорттоваров","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"Sen Sulu Магазин женской одежды. Алматы","+7 778 154 1079","https://instagram.com/sen_sulu.official.almaty?igshid=11kfd649ev4q8","Магазин женской одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Итальянская пряжа Алматы, фурнитура для бижутерии и натуральные камни","+7 775 909 1400","https://www.instagram.com/knitshopping.kz/","Магазин пряжи","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Elfina","+7 777 017 3456","http://elfina.kz/","Магазин игрушек","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Cvety.kz","+7 702 222 0730","https://cvety.kz/almaty/","Доставка цветов","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"TOO AK-STROY","+7 707 523 1020","http://ak-stroy.kz/","Магазин напольных покрытий","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Светофор","","","Супермаркет низких цен","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"Детскиий текстиль Оптом","+7 700 953 0562","","Магазин детской одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Floors","+7 707 111 6030","https://www.floors.kz/laminate/","Магазин напольных покрытий","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"HappyCake","+7 707 777 1144","https://happycake.kz/almaty","Кондитерская","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Opt Store","+7 707 430 3050","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Весновка","+7 7272 64 56 34","","Поставщик продуктов питания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Строительный Рынок","+7 707 328 0155","","Строительный рынок","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Magnum","+7 727 339 7340","https://magnum.kz/","Гипермаркет","Алматы",KZ,90,new,google_maps_apify,2026-08-16
"ONEKI","+7 708 008 2161","https://www.instagram.com/kanstovar_almaty?igsh=anpsc2VkZ2Z0N3g1&utm_source=qr","Оптовая продажа канцелярских товаров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Рынок ""Ак-булак""","+7 701 733 6916","https://instagram.com/aqbulaq.kz?utm_medium=copy_link","Торговый центр","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Рынок Салем","","","Торговый центр","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Optom textile Kazakhstan","","https://instagram.com/optom.textile.kazakhstan?utm_medium=copy_link","Магазин товаров для дома","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Рынок ""Казына""","","","Торговый центр","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Sagadat","+7 747 373 7343","https://www.instagram.com/sagadat.tex/","Магазин постельного белья","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Арлан-2","","","Рынок","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Erva Home","+7 747 970 2503","https://www.instagram.com/moda_optom_textile?igsh=eWV4YzNrbjRtZ3Az","Текстильная фабрика","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Женская Одежда","+7 701 335 3646","","Магазин женской одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Магазин Жулдыз","","","Магазин товаров для дома","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Сеть магазинов ""Прага"".","+7 727 395 5224","http://pragashop.kz/","Магазин товаров для дома","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"RichShop.kz","+7 705 300 4890","https://richshop.kz/","Магазин товаров для салонов красоты","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Optom textile Kenje","+7 701 636 6833","https://instagram.com/optom.textile.kenje?utm_medium=copy_link","Магазин постельного белья","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Shantal lingerie","+7 747 180 1606","https://shantalopt.com/?utm_source=googlemaps","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Детская Одежда Rayan Kidss","+7 700 953 9462","https://instagram.com/rayan_kidss?utm_medium=copy_link","Оптовый продавец одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"TESPE","+7 778 409 4999","https://www.instagram.com/tespe_noski.kz?igsh=aHNyYWI1cGx0MWt6","Оптовый продавец одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Medi Tekstil Optom","+7 778 109 0736","https://instagram.com/medi.tekstil.optom?utm_medium=copy_link","Магазин постельного белья","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Цветочный базар","","","Цветочный магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Flowers Patio","+7 701 759 2200","","Цветочный магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Рынок Алматы 1","+7 777 077 1737","","Рынок","Алматы",KZ,90,new,google_maps_apify,2026-08-16
"Оптовый магазин игрушек Toybala","+7 727 386 2826","","Детский магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"BestFlowers.kz","+7 778 957 8575","https://bestflowers.kz/","Доставка цветов","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Чековая Лента","+7 727 329 6136","https://xn----7sbbfod5alte4cwczg.kz/","Оптовая торговля","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"TeMax","+7 777 030 9090","","Магазин строительных товаров","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"TOIMART","+7 800 070-01-42","https://www.toimart.kz/","Супермаркет","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"LAIWO - интерактивное оборудование","+7 707 659 0009","http://www.laiwo.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Al-Style","+7 727 300 0300","https://al-style.kz/","Оптовая торговля","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Шохрат маркет","","","Оптовый магазин продуктов питания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Комфорт","+7 771 929 1312","https://www.komfort.kz/","Строительный магазин","Алматы",KZ,90,new,google_maps_apify,2026-08-16
"Kilem Market","+7 705 778 5753","","Магазин товаров для дома","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Строительный рынок Бахар","+7 707 471 7096","","Строительный рынок","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"ТОО БИКО","+7 727 382 1956","https://profi-s.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Оптомаркет","","","Магазин овощей и фруктов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ИП ""БАЛЬНЕР"" / TRAVKA.KZ","+7 777 303 0333","https://travka.kz/","Оптовая торговля","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ТОО ""Склад ОВ"" (Радиаторы TIPIDO)","+7 727 339 2286","http://tipido.kz/","Производитель","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"hodovik","+7 747 479 0890","","Магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"КАС-торг: хозтовары, расходный материал, бытовая химия в Алматы","+7 771 575 3071","https://kas-torg.kz/","Хозяйственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Ленуца","+7 7272 42 75 43","","Продовольственный магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Группа компаний ""Автомаляр""","+7 727 339 8253","http://www.avtomalyar.kz/","Магазин автохимии","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"ТОО Bugel","+7 705 333 0330","https://bugel.kz/","Поставщик крепёжных изделий","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Capital Garant Group Казахстан","+7 777 312 6852","https://cg-group.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Volna","+7 775 007 0795","https://www.volna.kz/","Пивной магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""LL TRADE""","+7 707 412 3050","https://www.instagram.com/lltrade_kz/","Оптовая продажа мебели","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"EpoMaxS","+7 708 637 0833","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Магазин товары для дома","+7 708 979 3487","","Оптовая продажа товаров повседневного спроса","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Цветочный магазин","+7 778 985 0334","","Магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Универсальный рынок Нурсат","","","Рынок","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"TOIMART","+7 800 070-01-42","https://www.toimart.kz/","Супермаркет","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"AstroBT","+7 7272 23 03 65","http://www.astrobt.kz/","Оптовая продажа бытовой техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""Нуртау-А""","+7 727 333 0888","http://www.nurtau-a.kz/","Строительный магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Алель Агро","+7 727 343 5545","http://alelagro.kz/ru/contacts.html","Птицеферма","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""Адал жем""","+7 778 214 6317","https://adaljem.kz/","Магазин кормов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Obuv_vnalichii_2","+7 778 667 2577","","Обувной магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Alihan Company Almaty","+7 708 038 8888","https://alihancompany.kz/","Строительный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Золотые ворота","+7 771 266 0618","http://zvt.kz/","Строительный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Круассаны замороженные Алматы","+7 775 388 2121","","Производитель замороженных пищевых продуктов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Zenera","+7 701 805 0064","https://zenera.kz/#","Производитель спортивной одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ВАСТЕ","+7 727 384 7636","http://vaste.kz/","Производитель","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""AF-SOLUT""","+7 7272 32 35 54","https://alihancompany.kz/","Поставщик стройматериалов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Запчасти Газель Газ-Уаз","+7 705 302 5152","https://gricompani.kz/","Магазин автозапчастей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"МАМЫР. ВСЕ ВИДЫ ТЕПЛОИЗОЛЯЦИИ","+7 708 708 8811","http://www.mamyr.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Торговый дом ЭлитФиш","+7 708 114 8698","https://elitefish.kz/contact/","","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"RC Group","+7 727 321 8202","","Компьютерный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"SAUDA","+7 700 363 3963","","Логистические услуги","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Almatmed","+7 747 488 7462","","Магазин медицинского оборудования","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"BELARUSKI","+7 707 210 6421","","Продовольственный магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Froot","+7 707 000 3612","","Продовольственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Фикс Прайс","","http://fix-price.kz/","Магазин товаров для дома","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Азбука рыбного вкуса","+7 7272 93 09 27","","Рыбный магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"FLOWER AVENUE - здесь живут цветы","+7 700 800 9192","https://flower.kz/","Цветочный рынок","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Атамекен","+7 775 463 0257","","Поставщик продуктов питания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Nickol","+7 701 534 6041","https://www.nickol.kz/","Магазин товаров для салонов красоты","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"«Pro-Buket»","+7 778 746 0036","https://pro-buket.kz/","Доставка цветов","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"ТЦ Олжа","","","Торговый центр","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Hassanov Home плитка мозаика","+7 707 151 1131","http://www.hassanovhome.kz/","Магазин строительных товаров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Eco Fresh","+7 708 690 9313","","Магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Ферма у дома","","","Продовольственный магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Арт Букет - доставка цветов","+7 777 047 5555","https://almaty.art-buket.kz/","Цветочный магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Saffron","+7 775 839 0566","https://www.instagram.com/saffron_ala/","Оптовый магазин продуктов питания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Office Expert","+7 727 331 7070","https://oe.kz/","Интернет-магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Канцтовары оптом купить со склада в Алматы - KancOpt.kz","+7 701 501 7117","http://kanctop.kz/","Оптовая продажа канцелярских товаров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Электротовары оптом от производителей","+7 708 971 0605","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Fresh Frozen","+7 747 340 0619","","Оптовый магазин продуктов питания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Bitex - оптово-розничная продажа текстиля, печать на одежде и брендирование в Алматы","+7 776 963 5120","https://bitex.kz/","Печать по текстилю","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Froot","+7 707 000 3612","","Продовольственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Рахат","+7 7272 58 47 10 ext. 590","https://www.rakhat.kz/","Кондитерский магазин","Алматы",KZ,60,new,google_maps_apify,2026-08-16
"Alpion","+7 700 555 4072","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Магазин индийской одежды ""Брахмапутра""","+7 705 419 5236","http://instagram.com/brahmaputra.kz","Магазин одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Froot","+7 707 000 3612","","Продовольственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Салон китайской косметики ""Мей Ли""","+7 7272 74 20 22","http://www.meili.kz/","Магазин товаров для салонов красоты","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Froot","+7 707 000 3612","","Продовольственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Ortonog.kz – ортопедический магазин в Алматы | Бандажи, лангеты, ортезы","+7 708 960 9925","https://justshop.kz/","Магазин косметики и парфюмерии","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Магазин элитных тканей из Италии ""Italian Textile"" в Алматы","+7 777 240 4868","","Магазин тканей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Мир Растений Алматы","+7 707 191 7100","https://www.xn--80akhcfnkvall.kz/","Оптовая продажа саженцев","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО “Abris Distribution - Kazakhstan”","+7 727 347 0346","https://xfinity.kz/","Оптовая продажа компьютерной техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Жасау","+7 7272 79 68 01","","Магазин постельных принадлежностей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Магазин Умный Дом","+7 747 535 2560","","Оптовая продажа электроники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ПрофКондитер","+7 701 484 0350","","Оптовая продажа товаров повседневного спроса","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Посуда","+7 775 779 1707","","Магазин посуды из стекла","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Книги ЭРУДИТ","+7 701 918 8388","","Книжный магазин","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Магазин музыкальных инструментов ""YMusic - MUZTORG""","+7 777 829 2020","https://ymusic.kz/","Магазин музыкальных инструментов","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Optimus KZ, магазин красок, строительной химии и малярного инструмента","+7 775 007 4060","https://optimus-kz.com/","Оптовая продажа строительных материалов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Кокшетауское мороженое Гормолзавод","+7 708 942 9092","https://koksheicecream.kz/","Поставщик продуктов питания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Дом Пряжи","+7 775 306 4796","https://kaspi.kz/shop/search/?q=%3AallMerchants%3A16182000","Магазин пряжи","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Добряк","+7 777 582 2357","","Торговец табачными изделиями","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"TITAN SHOP - спортивная одежда и экипировка в Алматы","+7 701 957 6555","https://instagram.com/titanshopkz?igshid=MzRlODBiNWFlZA==","Магазин спорттоваров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ASTIMPEX LLC","+7 701 733 5302","","Строительный рынок","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"idealbeauty","+7 727 392 6930","http://www.idealbeauty.kz/","Магазин товаров для салонов красоты","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Корейская косметика Алматы - Koreanmart.kz","+7 707 828 2580","http://koreanmart.kz/","Магазин косметики и парфюмерии","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"FLOWER AVENUE","+7 700 800 9191","http://flower.kz/","Цветочный рынок","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ASYQ Et","+7 775 680 0180","https://wa.me/+77756800180","Мясной магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ЯРС и К ТОО","+7 7272 49 31 06","http://www.yars.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Volna","+7 775 007 0795","https://www.volna.kz/","Пивной магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Чёрная икра","+7 702 777 1703","","Производство рыбной продукции","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО ""Белорусский Дом Белья""","+7 771 107 5797","https://bel-dom.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Арт Казахстан","+7 777 223 1505","","Магазин поздравительных открыток","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Adika perfume & cosmetics","+7 700 307 1177","http://adika.kz/","Поставщик парфюмерии и ароматизаторов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Назик","+7 727 392 3297","http://nazik.kz/","Магазин тортов","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Almatybuket","+7 702 874 4444","","Цветочный магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ТОО ""КазЕвроExim""","+7 771 571 1111","","Продажа фруктов и овощей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Texvibe| Скатерти, уличные шторы для террасы, униформа, шторы для ресторанов и кафе","+7 777 640 5908","https://www.instagram.com/texvibe?igsh=MXNrMjd5MW5wbTFwdA==","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Volna","+7 775 007 0795","https://www.volna.kz/","Пивной магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ДОСТАВКА АЛКОГОЛЯ, ПИВА ЗА 10-20 МИН В АЛМАТЫ КРУГЛОСУТОЧНО","+7 707 938 7183","https://tootapp.kz/","Пивной магазин","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Ledshop.kz","+7 777 249 2538","http://ledshop.kz/","Оптовая продажа светотехнического оборудования","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Give The Gifts","+7 727 313 7783","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Logoprom","+7 777 224 4666","http://xn--80anehn5d.kz/","Производитель сувениров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Volna","+7 775 007 0795","https://www.volna.kz/","Пивной магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Домашний бисквит","+7 747 666 5018","http://biscuit.kz/","Пекарня с оптовым магазином-булочной","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Цветочный магазин Оранж Абая Алтынсарина Цветы Алматы ОРАНЖ Заказать Доставку Букетов из роз","+7 707 820 0729","https://orange-flowers.kz/","Цветочный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"E-Stroymart","+7 701 202 2588","https://www.e-stroymart.kz/","Магазин сантехники","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Дари Эмоции","+7 707 924 0567","https://dariemocii.kz/","Производитель сувениров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Кенжехан","+7 771 857 7272","","Торговый центр","Алматы",KZ,75,new,google_maps_apify,2026-08-16
"Almaflowers - Доставка цветов Алматы | Цветы в Алматы | Пионы в Алматы | Букеты | Подарки","+7 777 096 2222","https://almaflowers.kz/","Доставка цветов","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"Склад Кормов Purina","+7 778 214 6317","http://adaljem.kz/","Магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Flowers Shop","+7 707 313 2121","","Цветочный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусские продукты № 1","+7 705 739 8000","https://belostan.kz/","Колбасные изделия","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Светодиодные светильники и LED панели от ТОО ""ELEKTRO-SKLAD.KZ""","+7 777 516 3232","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Aza Shop","+7 708 922 7504","https://www.instagram.com/azashopmens?igsh=YnRwOTB2MjVkODJ3","Магазин мужской одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Агенство коммерческой недвижимости, управляющая компания","+7 707 831 4412","","Магазин спецодежды","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Sovenok","+7 702 661 7638","https://www.instagram.com/sovenok_for_baby/","Магазин детской одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Turkiadan","+7 771 847 5201","https://www.instagram.com/turkiadan_kz/","Магазин нижнего белья","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Купить запчасти для бытовой техники | Maestro extra интернет-магазин","+7 700 390 0252","https://maestro.cts.kz/","Поставщик запчастей для бытовой техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Froot","+7 707 000 3612","","Продовольственный магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Etop","+7 877 710-72-22","","Магазин детской одежды","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Хан-Таныры","+7 771 316 8454","","Поставщик продуктов питания","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТПК Ожет","+7 771 800 8007","","Агентство по аренде торговых площадей","Алматы",KZ,45,new,google_maps_apify,2026-08-16
"ЗАПЧАСТИ BMW","+7 702 978 0414","","Авторынок","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"BabyMore","+7 702 955 0008","https://www.instagram.com/babymore_optom/","Магазин детской одежды","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Белорусское Качество","+7 747 893 1659","","Магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Руторг","+7 705 555 8449","https://rutorg.kz/","Оптовая продажа тканей","Алматы",KZ,45,new,google_maps_apify,2026-08-16
