company,phone,website,address,category,rating,reviews,score,source,status
Детская Одежда Rayan Kidss,+7 700 953 9462,https://instagram.com/rayan_kidss?utm_medium=copy_link,"Бекболата 1B, рынок Ожет, ряд 8, контейнер 31, Алматы 050024, Казахстан",Оптовый продавец одежды,5,1,15,google_maps_apify,new
TESPE,+7 778 409 4999,https://www.instagram.com/tespe_noski.kz?igsh=aHNyYWI1cGx0MWt6,"Северное Кольцо 76, Алматы, Казахстан",Оптовый продавец одежды,,0,15,google_maps_apify,new
Medi Tekstil Optom,+7 778 109 0736,https://instagram.com/medi.tekstil.optom?utm_medium=copy_link,"Северное кольцо 28а, рынок Мизам, блок А, ряд 3-4, бутик 1-7, Алматы 050024, Казахстан",Магазин постельного белья,5,3,15,google_maps_apify,new
Цветочный базар,,,"улица Жангельдина 31, Алматы 050000, Казахстан",Цветочный магазин,4.6,33,30,google_maps_apify,new
Flowers Patio,+7 701 759 2200,,"улица Суюнбая 251/2 ярмарка ""Турксиб"" 11 бутик, Алматы 050000, Казахстан",Цветочный магазин,4.8,29,30,google_maps_apify,new
Рынок Алматы 1,+7 777 077 1737,,"8XM4+3F3, ул. Шолохова, Алматы, Казахстан",Рынок,4.2,8916,90,google_maps_apify,new
Оптовый магазин игрушек Toybala,+7 727 386 2826,,"ул.Джангильдина 31/2 Алматы, 050007, Казахстан",Детский магазин,,0,15,google_maps_apify,new
BestFlowers.kz,+7 778 957 8575,https://bestflowers.kz/,"пр. Суюнбая 261, на территории ярмарки ""Турксиб, Алматы 050066, Казахстан",Доставка цветов,4.6,52,30,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"улица Михаила Шемякина 136, Алматы 050056, Казахстан",Колбасные изделия,5,2,15,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"улица Хайдара Халиуллина 43, Алматы 050019, Казахстан",Колбасные изделия,3.5,2,15,google_maps_apify,new
Чековая Лента,+7 727 329 6136,https://xn----7sbbfod5alte4cwczg.kz/,"✔ РЕКОМЕНДУЕМ ❯ Рейтинг: ★★★★★ ➔ Отзывы ✔475, Алматы 050016, Казахстан",Оптовая торговля,5,23,30,google_maps_apify,new
TeMax,+7 777 030 9090,,"улица Сазоновская 188, Алматы 050019, Казахстан",Магазин строительных товаров,4.8,23,30,google_maps_apify,new
TOIMART,+7 800 070-01-42,https://www.toimart.kz/,"просп. Суюнбая 261, Алматы 050054, Казахстан",Супермаркет,4,2,15,google_maps_apify,new
LAIWO - интерактивное оборудование,+7 707 659 0009,http://www.laiwo.kz/,"улица Жамбыла 114/85, Алматы 050000, Казахстан",Оптовая торговля,4.7,14,15,google_maps_apify,new
Al-Style,+7 727 300 0300,https://al-style.kz/,"Назарбаев 19, проспект Нурсултан, Алматы 050016, Казахстан",Оптовая торговля,4.7,222,45,google_maps_apify,new
Шохрат маркет,,,"7XFG+JM5, улица Добролюбова, Алматы, Казахстан",Оптовый магазин продуктов питания,5,1,15,google_maps_apify,new
Комфорт,+7 771 929 1312,https://www.komfort.kz/,"просп. Суюнбая 2/9, Алматы 050016, Казахстан",Строительный магазин,4.4,6126,90,google_maps_apify,new
Kilem Market,+7 705 778 5753,,"пр-т. Сейфуллина 184/1, Алматы 050037, Казахстан",Магазин товаров для дома,4.9,40,30,google_maps_apify,new
Строительный рынок Бахар,+7 707 471 7096,,"7XWQ+X9H, пр-т. Турара Рыскулова, Алматы, Казахстан",Строительный рынок,4,994,60,google_maps_apify,new
ТОО БИКО,+7 727 382 1956,https://profi-s.kz/,"Ипподромная 2, Алматы 050016, Казахстан",Оптовая торговля,4,1,15,google_maps_apify,new
Оптомаркет,,,"8X8M+P4H, Алматы, Казахстан",Магазин овощей и фруктов,5,2,15,google_maps_apify,new
"ИП ""БАЛЬНЕР"" / TRAVKA.KZ",+7 777 303 0333,https://travka.kz/,"ул. Стасова 102/3, Алматы 050011, Казахстан",Оптовая торговля,5,31,30,google_maps_apify,new
"ТОО ""Склад ОВ"" (Радиаторы TIPIDO)",+7 727 339 2286,http://tipido.kz/,"просп. Суюнбая 89, Алматы 050016, Казахстан",Производитель,4,20,30,google_maps_apify,new
hodovik,+7 747 479 0890,,"улица Менделеева 59а, Алматы, Казахстан",Магазин,4.7,10,15,google_maps_apify,new
"КАС-торг: хозтовары, расходный материал, бытовая химия в Алматы",+7 771 575 3071,https://kas-torg.kz/,"Заветная ул. 43, Алматы, Казахстан",Хозяйственный магазин,5,1,15,google_maps_apify,new
Ленуца,+7 7272 42 75 43,,"8XJ2+JRQ, ул. Молдагалиева, Алматы, Казахстан",Продовольственный магазин,3.9,101,45,google_maps_apify,new
"Группа компаний ""Автомаляр""",+7 727 339 8253,http://www.avtomalyar.kz/,"ул. Потанина 230, Алматы, Казахстан",Магазин автохимии,4.6,830,60,google_maps_apify,new
ТОО Bugel,+7 705 333 0330,https://bugel.kz/,"Нарынкольская 1а, Алматы 050056, Казахстан",Поставщик крепёжных изделий,4.6,144,45,google_maps_apify,new
Capital Garant Group Казахстан,+7 777 312 6852,https://cg-group.kz/,"БЦ Станица, ул. Халиуллина 66, Алматы 050019, Казахстан",Оптовая торговля,5,1,15,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"ул. имени Акан-Серы 11, Алматы 050037, Казахстан",Колбасные изделия,3,2,15,google_maps_apify,new
Volna,+7 775 007 0795,https://www.volna.kz/,"ул. имени Акан-Серы 11, Алматы 050011, Казахстан",Пивной магазин,3.5,2,15,google_maps_apify,new
"ТОО ""LL TRADE""",+7 707 412 3050,https://www.instagram.com/lltrade_kz/,"Казахстан, Алматы, улица Желтоксан 5Б, Алматы 050000, Казахстан",Оптовая продажа мебели,,0,15,google_maps_apify,new
EpoMaxS,+7 708 637 0833,,"Бартольда 42, Алматы 050028, Казахстан",Оптовая торговля,5,5,15,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"Леонова ул. 2, Алматы 050028, Казахстан",Колбасные изделия,,0,15,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"улица Есим Хана 41, Алматы 050017, Казахстан",Колбасные изделия,4,1,15,google_maps_apify,new
Магазин товары для дома,+7 708 979 3487,,"ул.Кунгурская 2, Алматы, Казахстан",Оптовая продажа товаров повседневного спроса,,0,15,google_maps_apify,new
Цветочный магазин,+7 778 985 0334,,"9W3W+X67, Алматы, Казахстан",Магазин,3,2,15,google_maps_apify,new
Универсальный рынок Нурсат,,,"9W8W+85F, Zhambyl str., Алматы, Казахстан",Рынок,4.1,1146,75,google_maps_apify,new
TOIMART,+7 800 070-01-42,https://www.toimart.kz/,"Северное Кольцо 53В, Алматы 050028, Казахстан",Супермаркет,4.3,704,60,google_maps_apify,new
AstroBT,+7 7272 23 03 65,http://www.astrobt.kz/,"улица Бурундайская 93а, Алматы 050011, Казахстан",Оптовая продажа бытовой техники,5,1,15,google_maps_apify,new
"ТОО ""Нуртау-А""",+7 727 333 0888,http://www.nurtau-a.kz/,"Жетысуский р-н, мкр.Первомайский, ул. Вокзальная, 24, Казахстан",Строительный магазин,4.3,50,30,google_maps_apify,new
Алель Агро,+7 727 343 5545,http://alelagro.kz/ru/contacts.html,"ул. Рихарда Зорге 18/1, Алматы, Казахстан",Птицеферма,5,2,15,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"улица Аксуат 82А, Алматы 050047, Казахстан",Колбасные изделия,,0,15,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"Мангышлакская ул. 2, Алматы 050028, Казахстан",Колбасные изделия,,0,15,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"ул. Бекмаханова 56А, Алматы 050028, Казахстан",Колбасные изделия,,0,15,google_maps_apify,new
"ТОО ""Адал жем""",+7 778 214 6317,https://adaljem.kz/,"ул. Шолохова 1, склад № 17 Purina®, Алматы, Казахстан",Магазин кормов,,0,15,google_maps_apify,new
Obuv_vnalichii_2,+7 778 667 2577,,"9W49+G5X, Unnamed Road, Алматы, Казахстан",Обувной магазин,4.4,172,45,google_maps_apify,new
Alihan Company Almaty,+7 708 038 8888,https://alihancompany.kz/,"Северное Кольцо 53, Алматы 050028, Казахстан",Строительный магазин,4.9,8,15,google_maps_apify,new
Золотые ворота,+7 771 266 0618,http://zvt.kz/,"ул. Перонная 25, Алматы 050028, Казахстан",Строительный магазин,4.8,13,15,google_maps_apify,new
Круассаны замороженные Алматы,+7 775 388 2121,,"Алматы, Казахстан",Производитель замороженных пищевых продуктов,5,3,15,google_maps_apify,new
Zenera,+7 701 805 0064,https://zenera.kz/#,"мкр. Кокжиек 48, Алматы 050000, Казахстан",Производитель спортивной одежды,5,2,15,google_maps_apify,new
ТОО ВАСТЕ,+7 727 384 7636,http://vaste.kz/,"ул. Павлодарская д. 89, Алматы 050014, Казахстан",Производитель,4.6,10,15,google_maps_apify,new
"ТОО ""AF-SOLUT""",+7 7272 32 35 54,https://alihancompany.kz/,"Северное Кольцо 53а, Алматы, Казахстан",Поставщик стройматериалов,5,3,15,google_maps_apify,new
Запчасти Газель Газ-Уаз,+7 705 302 5152,https://gricompani.kz/,"улица Бурундайская 154, Алматы 050011, Казахстан",Магазин автозапчастей,5,11,15,google_maps_apify,new
МАМЫР. ВСЕ ВИДЫ ТЕПЛОИЗОЛЯЦИИ,+7 708 708 8811,http://www.mamyr.kz/,"ул. Павлодарская 1, Алматы 050011, Казахстан",Оптовая торговля,,0,15,google_maps_apify,new
Торговый дом ЭлитФиш,+7 708 114 8698,https://elitefish.kz/contact/,"улица Бурундайская 93Б, Алматы 050014, Казахстан",,2.8,8,15,google_maps_apify,new
RC Group,+7 727 321 8202,,"ул. Гёте 175Б, Алматы 050011, Казахстан",Компьютерный магазин,4.1,17,15,google_maps_apify,new
SAUDA,+7 700 363 3963,,"Северное Кольцо 76/3, Алматы 050023, Казахстан",Логистические услуги,2.5,8,15,google_maps_apify,new
Almatmed,+7 747 488 7462,,"ул. Шолохова 17/7, Алматы 050000, Казахстан",Магазин медицинского оборудования,,0,15,google_maps_apify,new
BELARUSKI,+7 707 210 6421,,"улица Розыбакиева 92, Алматы 050009, Казахстан",Продовольственный магазин,4.6,138,45,google_maps_apify,new
Froot,+7 707 000 3612,,"проспект Гагарина 100, Алматы 050000, Казахстан",Продовольственный магазин,4,1,15,google_maps_apify,new
Фикс Прайс,,http://fix-price.kz/,"пр-т. Абая 141, Алматы 050000, Казахстан",Магазин товаров для дома,4.1,122,45,google_maps_apify,new
Азбука рыбного вкуса,+7 7272 93 09 27,,"улица Шевченко 61, Алматы 050000, Казахстан",Рыбный магазин,4.4,165,45,google_maps_apify,new
FLOWER AVENUE - здесь живут цветы,+7 700 800 9192,https://flower.kz/,"ул. Сатпаева 7А/1, Алматы 050013, Казахстан",Цветочный рынок,4.9,365,45,google_maps_apify,new
Атамекен,+7 775 463 0257,,"6WGJ+J69, ул. Бальзака, Алматы, Казахстан",Поставщик продуктов питания,4.7,14,15,google_maps_apify,new
Nickol,+7 701 534 6041,https://www.nickol.kz/,"мкр. Керемет 6, Алматы 050013, Казахстан",Магазин товаров для салонов красоты,4.5,430,45,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"микрорайон Самал-2 47, Алматы 050051, Казахстан",Колбасные изделия,5,1,15,google_maps_apify,new
«Pro-Buket»,+7 778 746 0036,https://pro-buket.kz/,"пр-т. Назарбаева 244, Алматы 050059, Казахстан",Доставка цветов,4.7,358,45,google_maps_apify,new
ТЦ Олжа,,,"6VRV+5XG, проспект Гагарина, Алматы 050000, Казахстан",Торговый центр,4.1,349,45,google_maps_apify,new
Hassanov Home плитка мозаика,+7 707 151 1131,http://www.hassanovhome.kz/,"ул. Шевченко 204 , ТЦ Саламат - 5, этаж - 2, сектор - 10, Алматы 110000, Казахстан",Магазин строительных товаров,5,3,15,google_maps_apify,new
Eco Fresh,+7 708 690 9313,,"БЦ МТС 2-ой этаж, улица Шевченко 165Б, Алматы 050000, Казахстан",Магазин,2.3,3,15,google_maps_apify,new
Ферма у дома,,,"6VJ8+2CW, Алматы 050000, Казахстан",Продовольственный магазин,4.1,164,45,google_maps_apify,new
Арт Букет - доставка цветов,+7 777 047 5555,https://almaty.art-buket.kz/,"ул. Тимирязева 42/10А, Алматы 050000, Казахстан",Цветочный магазин,4.7,177,45,google_maps_apify,new
Saffron,+7 775 839 0566,https://www.instagram.com/saffron_ala/,"улица Байзакова 280, Алматы 050040, Казахстан",Оптовый магазин продуктов питания,,0,15,google_maps_apify,new
Office Expert,+7 727 331 7070,https://oe.kz/,"ул. Тимирязева 28в, Алматы 050060, Казахстан",Интернет-магазин,3.8,63,30,google_maps_apify,new
Канцтовары оптом купить со склада в Алматы - KancOpt.kz,+7 701 501 7117,http://kanctop.kz/,"1, Жамбыла 114/85, Литер А офис 131, Алматы 050000, Казахстан",Оптовая продажа канцелярских товаров,,0,15,google_maps_apify,new
Электротовары оптом от производителей,+7 708 971 0605,,"Биокомбинатская 7а, Алматы 050000, Казахстан",Оптовая торговля,5,2,15,google_maps_apify,new
Fresh Frozen,+7 747 340 0619,,"Ратушного, Алматы, Казахстан",Оптовый магазин продуктов питания,,0,15,google_maps_apify,new
"Bitex - оптово-розничная продажа текстиля, печать на одежде и брендирование в Алматы",+7 776 963 5120,https://bitex.kz/,"микрорайон Жетысу 4 3а, Алматы, Казахстан",Печать по текстилю,4.9,66,30,google_maps_apify,new
Froot,+7 707 000 3612,,"улица Радостовца 158/1, Алматы 050000, Казахстан",Продовольственный магазин,1,1,15,google_maps_apify,new
Рахат,+7 7272 58 47 10 ext. 590,https://www.rakhat.kz/,"ул. Тимирязева 85, Алматы 050060, Казахстан",Кондитерский магазин,4.6,584,60,google_maps_apify,new
Alpion,+7 700 555 4072,,"ул. Жандосова 58А офис 51А, Алматы, Казахстан",Оптовая торговля,5,1,15,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"Алматы микрорайон Коктем-2 19, Алматы 050062, Казахстан",Колбасные изделия,,0,15,google_maps_apify,new
"Магазин индийской одежды ""Брахмапутра""",+7 705 419 5236,http://instagram.com/brahmaputra.kz,"улица Жарокова 187б, Алматы 050000, Казахстан",Магазин одежды,4.7,3,15,google_maps_apify,new
Froot,+7 707 000 3612,,"улица Маркова 53, Алматы 050040, Казахстан",Продовольственный магазин,,0,15,google_maps_apify,new
"Салон китайской косметики ""Мей Ли""",+7 7272 74 20 22,http://www.meili.kz/,"город Алматы, Тимирязева 67, Алматы 050057, Казахстан",Магазин товаров для салонов красоты,4.6,217,45,google_maps_apify,new
Froot,+7 707 000 3612,,"микрорайон Самал-2 29, Алматы 050051, Казахстан",Продовольственный магазин,,0,15,google_maps_apify,new
"Ortonog.kz – ортопедический магазин в Алматы | Бандажи, лангеты, ортезы",+7 708 960 9925,https://justshop.kz/,"МИКРОРАЙОН Коктем-3, дом 17, Алматы 050040, Казахстан",Магазин косметики и парфюмерии,5,62,30,google_maps_apify,new
"Магазин элитных тканей из Италии ""Italian Textile"" в Алматы",+7 777 240 4868,,"ул. Текстильная 74, Алматы 050000, Казахстан",Магазин тканей,5,8,15,google_maps_apify,new
Мир Растений Алматы,+7 707 191 7100,https://www.xn--80akhcfnkvall.kz/,"проспект Серкебаева 214, Алматы 050060, Казахстан",Оптовая продажа саженцев,5,2,15,google_maps_apify,new
ТОО “Abris Distribution - Kazakhstan”,+7 727 347 0346,https://xfinity.kz/,"ПФЦ «Нурлы Тау», пр. Аль-Фараби, 15 к4В, Блок 4В, Алматы 050059, Казахстан",Оптовая продажа компьютерной техники,4.4,11,15,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"бул. Бухар-Жирау 35, Алматы 050040, Казахстан",Колбасные изделия,,0,15,google_maps_apify,new
Жасау,+7 7272 79 68 01,,"пр-т. Сейфуллина 422, Алматы 050000, Казахстан",Магазин постельных принадлежностей,5,1,15,google_maps_apify,new
Магазин Умный Дом,+7 747 535 2560,,"ул. Бегалина 140, Алматы 050011, Казахстан",Оптовая продажа электроники,1,1,15,google_maps_apify,new
ПрофКондитер,+7 701 484 0350,,"Самал-1 ул. Жолдасбекова 9а 3 этаж, бутик 22, Алматы 050051, Казахстан",Оптовая продажа товаров повседневного спроса,,0,15,google_maps_apify,new
Посуда,+7 775 779 1707,,"улица Масанчи 98, Алматы 050022, Казахстан",Магазин посуды из стекла,5,1,15,google_maps_apify,new
Книги ЭРУДИТ,+7 701 918 8388,,"ЖК, ул. Жарокова, 137 блок В1, Алматы, Казахстан",Книжный магазин,4.7,198,45,google_maps_apify,new
"Магазин музыкальных инструментов ""YMusic - MUZTORG""",+7 777 829 2020,https://ymusic.kz/,"проспект Абылай Хана 122, угол, улица Курмангазы, Алматы 050000, Казахстан",Магазин музыкальных инструментов,4.5,118,45,google_maps_apify,new
"Optimus KZ, магазин красок, строительной химии и малярного инструмента",+7 775 007 4060,https://optimus-kz.com/,"микрорайон Самал-2 25, Алматы 050000, Казахстан",Оптовая продажа строительных материалов,4.6,7,15,google_maps_apify,new
Кокшетауское мороженое Гормолзавод,+7 708 942 9092,https://koksheicecream.kz/,"ул, Ботанический Сад 21, Алматы, Казахстан",Поставщик продуктов питания,3.9,14,15,google_maps_apify,new
Дом Пряжи,+7 775 306 4796,https://kaspi.kz/shop/search/?q=%3AallMerchants%3A16182000,"ЖК AFD Plaza, Аль-Фараби 21/6, офис 1139, 2-этаж, Алматы 050013, Казахстан",Магазин пряжи,3.7,3,15,google_maps_apify,new
Добряк,+7 777 582 2357,,"ул. Сатпаева 55, Алматы 050000, Казахстан",Торговец табачными изделиями,3.8,26,30,google_maps_apify,new
TITAN SHOP - спортивная одежда и экипировка в Алматы,+7 701 957 6555,https://instagram.com/titanshopkz?igshid=MzRlODBiNWFlZA==,"улица Шевченко 190, Алматы 050000, Казахстан",Магазин спорттоваров,4.6,17,15,google_maps_apify,new
ASTIMPEX LLC,+7 701 733 5302,,"ул. Минина 24, Алматы 050022, Казахстан",Строительный рынок,5,1,15,google_maps_apify,new
idealbeauty,+7 727 392 6930,http://www.idealbeauty.kz/,"проспект Гагарина 135 г, Алматы 050060, Казахстан",Магазин товаров для салонов красоты,4.4,87,30,google_maps_apify,new
Корейская косметика Алматы - Koreanmart.kz,+7 707 828 2580,http://koreanmart.kz/,"магазин KoreaShop, Керемет микрорайон, 7 к27 1-й этаж, Алматы 050013, Казахстан",Магазин косметики и парфюмерии,5,2,15,google_maps_apify,new
FLOWER AVENUE,+7 700 800 9191,http://flower.kz/,"ул. Сатпаева 7a, Алматы 050013, Казахстан",Цветочный рынок,4.6,30,30,google_maps_apify,new
ASYQ Et,+7 775 680 0180,https://wa.me/+77756800180,"улица Яссауи 63, Алматы, Казахстан",Мясной магазин,4.3,24,30,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"улица Абдуллы Розыбакиева 125/8, Алматы 050060, Казахстан",Колбасные изделия,4.5,2,15,google_maps_apify,new
ЯРС и К ТОО,+7 7272 49 31 06,http://www.yars.kz/,"050062, Республика Казахстан, г.Алматы, мкр.5, д.17, оф.7, Алматы 050062, Казахстан",Оптовая торговля,3.6,7,15,google_maps_apify,new
Volna,+7 775 007 0795,https://www.volna.kz/,"Алматы микрорайон Аксай 4 88А, Алматы 050063, Казахстан",Пивной магазин,5,1,15,google_maps_apify,new
Чёрная икра,+7 702 777 1703,,"Аль-Фараби, д 17, корп 4Б, Алматы 050059, Казахстан",Производство рыбной продукции,,0,15,google_maps_apify,new
"ТОО ""Белорусский Дом Белья""",+7 771 107 5797,https://bel-dom.kz/,"ул. Шарипова 120, Алматы 050022, Казахстан",Оптовая торговля,5,1,15,google_maps_apify,new
Арт Казахстан,+7 777 223 1505,,"пр-т. Абая 34, Алматы 050000, Казахстан",Магазин поздравительных открыток,5,6,15,google_maps_apify,new
Adika perfume & cosmetics,+7 700 307 1177,http://adika.kz/,"ТРЦ Mega Center Alma-Ata Розыбакиева, 247а, ТРЦ Forum, пр-т. Сейфуллина 617, Алматы 050010, Казахстан",Поставщик парфюмерии и ароматизаторов,4.2,5,15,google_maps_apify,new
Назик,+7 727 392 3297,http://nazik.kz/,"ул. Сатпаева 55, Алматы 050057, Казахстан",Магазин тортов,4.2,135,45,google_maps_apify,new
Almatybuket,+7 702 874 4444,,"пр-т. Абая 47, Алматы 050000, Казахстан",Цветочный магазин,2.8,21,30,google_maps_apify,new
"ТОО ""КазЕвроExim""",+7 771 571 1111,,"Алматы 050000, Казахстан",Продажа фруктов и овощей,,0,15,google_maps_apify,new
"Texvibe| Скатерти, уличные шторы для террасы, униформа, шторы для ресторанов и кафе",+7 777 640 5908,https://www.instagram.com/texvibe?igsh=MXNrMjd5MW5wbTFwdA==,"пр-т. Абая 21, Алматы 050000, Казахстан",Оптовая торговля,,0,15,google_maps_apify,new
Volna,+7 775 007 0795,https://www.volna.kz/,"проспект Достык 248, Алматы 050051, Казахстан",Пивной магазин,,0,15,google_maps_apify,new
"ДОСТАВКА АЛКОГОЛЯ, ПИВА ЗА 10-20 МИН В АЛМАТЫ КРУГЛОСУТОЧНО",+7 707 938 7183,https://tootapp.kz/,"ул. Сатпаева 24, Алматы 050063, Казахстан",Пивной магазин,3.9,22,30,google_maps_apify,new
Ledshop.kz,+7 777 249 2538,http://ledshop.kz/,"улица Шевченко 162А, Алматы 050000, Казахстан",Оптовая продажа светотехнического оборудования,5,5,15,google_maps_apify,new
Give The Gifts,+7 727 313 7783,,"Бизнес-центр Сарканд, пр. Н.Назарбаева 248, Алматы 050000, Казахстан",Оптовая торговля,1,1,15,google_maps_apify,new
Logoprom,+7 777 224 4666,http://xn--80anehn5d.kz/,"310, Абай даңғылы 115/96, Алматы 050008, Казахстан",Производитель сувениров,4.6,9,15,google_maps_apify,new
Volna,+7 775 007 0795,https://www.volna.kz/,"улица Манаса 75В, Алматы 050000, Казахстан",Пивной магазин,1,1,15,google_maps_apify,new
Домашний бисквит,+7 747 666 5018,http://biscuit.kz/,"Манаса 53А, уг, ул. Жандосова, Алматы 050057, Казахстан",Пекарня с оптовым магазином-булочной,3.5,15,15,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"Алматы микрорайон Жетысу-2 86А, Алматы 050063, Казахстан",Колбасные изделия,,0,15,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"Алматы микрорайон 6-й 11Б, Алматы 050036, Казахстан",Колбасные изделия,,0,15,google_maps_apify,new
Цветочный магазин Оранж Абая Алтынсарина Цветы Алматы ОРАНЖ Заказать Доставку Букетов из роз,+7 707 820 0729,https://orange-flowers.kz/,"5-й микрорайон 14, Алматы 050024, Казахстан",Цветочный магазин,3.7,3,15,google_maps_apify,new
E-Stroymart,+7 701 202 2588,https://www.e-stroymart.kz/,"ЖК Жасмин, мкр. 1, д.77/3, Алматы 050500, Казахстан",Магазин сантехники,3.8,35,30,google_maps_apify,new
Дари Эмоции,+7 707 924 0567,https://dariemocii.kz/,"Жунисова улица 12/8, Алматы, Казахстан",Производитель сувениров,5,4,15,google_maps_apify,new
Кенжехан,+7 771 857 7272,,"8WC2+W9R, Алматы, Казахстан",Торговый центр,4.2,1777,75,google_maps_apify,new
Almaflowers - Доставка цветов Алматы | Цветы в Алматы | Пионы в Алматы | Букеты | Подарки,+7 777 096 2222,https://almaflowers.kz/,"ул. Суюнбая 251/4, просп. Суюнбая 251/1, Алматы 050000, Казахстан",Доставка цветов,4.3,113,45,google_maps_apify,new
Склад Кормов Purina,+7 778 214 6317,http://adaljem.kz/,"ул. Шолохова 1, Алматы, Казахстан",Магазин,,0,15,google_maps_apify,new
Flowers Shop,+7 707 313 2121,,"просп. Суюнбая 251/1, Алматы, Казахстан",Цветочный магазин,4.6,19,15,google_maps_apify,new
Белорусские продукты № 1,+7 705 739 8000,https://belostan.kz/,"просп. Суюнбая Аронулы 261, Алматы 050054, Казахстан",Колбасные изделия,,0,15,google_maps_apify,new
"Светодиодные светильники и LED панели от ТОО ""ELEKTRO-SKLAD.KZ""",+7 777 516 3232,,"пр-т. Сейфуллина 51/5, Алматы 050035, Казахстан",Оптовая торговля,5,10,15,google_maps_apify,new
Aza Shop,+7 708 922 7504,https://www.instagram.com/azashopmens?igsh=YnRwOTB2MjVkODJ3,"Северное Кольцо 120/4, Алматы, Казахстан",Магазин мужской одежды,5,1,15,google_maps_apify,new
"Агенство коммерческой недвижимости, управляющая компания",+7 707 831 4412,,"ул. Стасова 102/2, Алматы 050000, Казахстан",Магазин спецодежды,4.2,29,30,google_maps_apify,new
Sovenok,+7 702 661 7638,https://www.instagram.com/sovenok_for_baby/,"бутик 7, ул. Северное Кольцо, рынок Кенжехан, ряд 18а, Алматы 050024, Казахстан",Магазин детской одежды,5,2,15,google_maps_apify,new
Turkiadan,+7 771 847 5201,https://www.instagram.com/turkiadan_kz/,"бутик 13, ул. Северное кольцо, рынок Кенжехан, ряд 18а, Алматы 050024, Казахстан",Магазин нижнего белья,5,4,15,google_maps_apify,new
Купить запчасти для бытовой техники | Maestro extra интернет-магазин,+7 700 390 0252,https://maestro.cts.kz/,"бутик 7, ул. Аймауытова 11, Алматы 050011, Казахстан",Поставщик запчастей для бытовой техники,5,3,15,google_maps_apify,new
Froot,+7 707 000 3612,,"микрорайон Аксай-1А, 30А, Алматы 050000, Казахстан",Продовольственный магазин,5,1,15,google_maps_apify,new
Etop,+7 877 710-72-22,,"пр-т. Райымбека 7, Алматы, Казахстан",Магазин детской одежды,4.3,69,30,google_maps_apify,new
Хан-Таныры,+7 771 316 8454,,"ул. Елемесова 60, Алматы 050031, Казахстан",Поставщик продуктов питания,4,12,15,google_maps_apify,new
ТПК Ожет,+7 771 800 8007,,"Бекболата ул. 1 б, Алматы, Казахстан",Агентство по аренде торговых площадей,4.1,288,45,google_maps_apify,new
ЗАПЧАСТИ BMW,+7 702 978 0414,,"Северное Кольцо 36, Алматы, Казахстан",Авторынок,4.4,85,30,google_maps_apify,new
BabyMore,+7 702 955 0008,https://www.instagram.com/babymore_optom/,"шоссе Северное Кольцо, 36г, ТЦ Laleli Plaza​, бутик 18-19, Алматы 050024, Казахстан",Магазин детской одежды,5,1,15,google_maps_apify,new
Белорусское Качество,+7 747 893 1659,,"просп. Суюнбая 261, Алматы 050054, Казахстан",Магазин,,0,15,google_maps_apify,new
Руторг,+7 705 555 8449,https://rutorg.kz/,"мкр. Самгау, ул. кокорай 75А, Алматы, Казахстан",Оптовая продажа тканей,5,118,45,google_maps_apify,new
Paperчили,+7 707 727 2222,,"ул. Кабдолова, Алматы 050000, Казахстан",Оптовая продажа специй,4.2,5,15,google_maps_apify,new
Gold Food,+7 7272 29 42 19,,"7V54+9M3, ул. Отрарская, Алматы, Казахстан",Оптовый магазин окороков,3.8,6,15,google_maps_apify,new
Доставка продуктов Алматы,+7 701 767 0748,,"мкр. Айгерим, ул. Саги Ашимова 203, Алматы, Казахстан",Оптовая торговля за наличный расчёт без доставки товара,5,2,15,google_maps_apify,new
PRIME GOODS,+7 706 410 1512,https://primegoods.kz/,"ул. Асабая Мамытова 99, Алматы 050047, Казахстан",Оптовая торговля за наличный расчёт без доставки товара,,0,15,google_maps_apify,new
"Магазин ""Тепличные товары""",+7 771 300 2283,https://bmax.kz/,"пр-т. Турара Рыскулова 105/1, Алматы 050061, Казахстан",Оптовая торговля,2,1,15,google_maps_apify,new
